Diseases,Symptoms, Incubation Period,
ChickenPox,fever,18,
ChickenPox,headache,18,
ChickenPox,loss_of_appetite,18,
ChickenPox,scabs,18,
Polio,infantile_paralysis,12,
Polio,stiffness_of_neck,12,
Polio,fever,12,
Polio,loss_of_head_support,12,
Rabies,Severe_headache,28,
Rabies,high_fever,28,
Rabies,Choking,28,
Rabies,fear_of_water,28,
Tuberculosis,Persistent_fever,52,
Tuberculosis,cough,52,
Tuberculosis,chest_pain,52,
Tuberculosis,general_weakness,52,
Typhoid,fever,12,
Typhoid,headache,12,
Typhoid,slow_pulse_rate,12,
Typhoid,reddish_rashes,12,
Cholera,acute_diarrhea,3,
Cholera,rice_watery_stool,3,
Cholera,muscular_cramps,3,
Cholera,dehydration,3,
Cholera,rapid_pulse,3,
Cholera,abdominal_cramps,3,
Cholera,nausea,3,
Malaria,headache,12,
Malaria,nausea,12,
Malaria,muscle_aches,12,
Malaria,chilliness,12,
Malaria,shivering,12,
Malaria,fever,12,
Malaria,sweating,12,
Malaria,anaemic,12,
Malaria,weakness,12,
Denguefever,fever,5,
Denguefever,Severe_headache,5,
Denguefever,Nausea,5,
Denguefever,vomiting,5,
Denguefever,body_aches,5,
Denguehemorrhagicfever,abdomen_pain,7,
Denguehemorrhagicfever,rashes,7,
Denguehemorrhagicfever,bleeding_from_the_nose_mouth,7,
Denguehemorrhagicfever,vomiting,7,
Denguehemorrhagicfever,Black_stools,7,
Denguehemorrhagicfever,excessive_thirst,7,
Denguehemorrhagicfever,weakness,7,
Measles,cold,4,
Measles,small_white_patches,4,
Measles,rashes,4,
Measles,sneezing,4,
Measles,watery_eyes,4,
Measles,tiednessness,4,
Measles,aches,4,
Measles,fever,4,
H1N1influenza(Swineflu),fever,5,
H1N1influenza(Swineflu),sore_throat,5,
H1N1influenza(Swineflu),muscle_aches,5,
H1N1influenza(Swineflu),chills,3,
H1N1influenza(Swineflu),fatigue,5,
H1N1influenza(Swineflu),vomiting,4,
H1N1influenza(Swineflu),diarrhea,5,
Diphtheria,runny_nose,10,
Diphtheria,malaise,8,
Diphtheria,breathing_problems,10,
Diphtheria,swallowing_problems,10,
Meningitis,extreme_headache,7,
Meningitis,neck_stiffness,7,
Meningitis,back_stiffness,7,
Meningitis,eye_pain,6,
Meningitis,nausea,7,
Meningitis,body_aches,7,
Meningitis,fever,9,
Meningitis,feeling_sleepy,10,
Meningitis,vomiting,9,
Mumps,fatigue,20,
Mumps,body_aches,19,
Mumps,loss_of_appetite,14,
Mumps,low_grade_fever,20,
Scabies,Intense_itching,56,
Scabies,skin_rashes,50,
Scabies,red_blotches,9,
Scabies,loss_of_sleep,50,
Scabies,Sores,50,
Tonsillitis,sore_throat,5,
Tonsillitis,pain_in_swaolling,5,
Tonsillitis,fever,7,
Tonsillitis,stomachache,5,
Tonsillitis,headache,5,
Tonsillitis,stiff_neck,7,
Tonsillitis,scratchy_voice,5,
Tonsillitis,chills,7,
StrepThroat,high_fever,5,
StrepThroat,swollen_tonsils,5,
StrepThroat,white_patches_on_throat,7,
StrepThroat,red_dots_on_mouth,7,
StrepThroat,appetite_loss,7,
StrepThroat,stomachache,5,
StrepThroat,nausea,6,
StrepThroat,vomiting,6,
StrepThroat,rashes,7,
Rabbitfever,loss_of_appetite,14,
Rabbitfever,fever,21,
Rabbitfever,agitation,21,
Rabbitfever,vomiting,14,
Rabbitfever,diarrhea,14,
Rabbitfever,swelling_of_lumph_nodes,21,
Salmonella,stomachache,2,
Salmonella,blood_in_stools,1,
Salmonella,cold,3,
Salmonella,fever,2,
Salmonella,diarrhea,2,
Hiv,fever,8,
Hiv,headache,9,
Hiv,sore_throat,8,
Hiv,muscle_aches,9,
Hiv,joint_pain,8,
Hiv,Swollen_lymph_nodes,9,
Hiv,Night_sweats,8,
Hiv,diarrhea,9,
Hiv,Night_sweats,9,
Hantavirus,extreme_fever,2,
Hantavirus,body_aches,5,
Hantavirus,vomiting,5,
Hantavirus,red_rashes,3,
Hantavirus,breathing_difficulty,3,
Hantavirus,stomachache,5,
Hantavirus,nausea,5,
HepatitisA,stomachache,20,
HepatitisA,joint_pain,20,
HepatitisA,muscle_aches,20,
HepatitisA,nausea,20,
HepatitisA,vomiting,20,
HepatitisA,diarrhea,20,
HepatitisA,fatigue,20,
HepatitisA,fever,19,
HepatitisA,loss_of_appetite,20,
HepatitisA,dark_urine,20,
HepatitisA,weight_loss,20,
HepatitisA,itching,20,
HepatitisA,weight_loss,20,
HepatitisA,yellow_skin,20,
HepatitisA,yellow_eyes,20,
HepatitisB,tiredness,25,
HepatitisB,general_aches,25,
HepatitisB,fever,25,
HepatitisB,feeling_unwell,25,
HepatitisB,loss_of_appetite,25,
HepatitisB,jaundice,25,
HepatitisB,dark_urine,25,
HepatitisB,pale_grey_coloured_poo,25,
HepatitisC,tiedness,50,
HepatitisC,muscle_aches,50,
HepatitisC,feeling_sick,50,
HepatitisC,brain_fog,50,
HepatitisC,mood_swings,50,
HepatitisC,anxiety,50,
HepatitisC,bloating,50,
HepatitisC,itchy_skin,50,
HepatitisD,joint_pain,7,
HepatitisD,jaundice,15,
